Where are you living currently?,How long have you been in Wichita? (in months),What is your apartment name? (street name if housing),How many people are staying in your unit?,What is the size of your unit?,"Overall, how satisfied are you with your current living?","On a scale of responsiveness, how efficient is the management of your apartment complex? (in maintenance services etc.,)",What are your thoughts on the level of safety in the vicinity of your residence?,What is the total monthly rent of your unit?,"What was the total amount you paid initially, covering fees such as application fees, deposit fees, and others?",Are you paying rental insurance for your unit monthly?,"If yes, what is your monthly rental insurance?","What is the approximate total amount of monthly bills (electricity, parking, etc.,) not included in your rent?",Do your apartment require guarantor?,Is your apartment pet friendly?,What is your preferred mode of transportation when leaving your residence?,What is the duration of time it takes you to walk from your residence to the closest transit stop?,What is the duration of time it takes for transit to reach from your stop to the university?,"What is the approximate duration of time, in minutes, it takes for you to reach your closest grocery store?",What is the approximate duration of time it takes for you to reach your preferred nearby restaurant?,What type of laundry amenities are available in your accommodation?
Apartment,9,The Landing,3,2 bed 1 bath,5,4,4,1075,1500,Yes,15,200,No,Yes,Transit,4.0,5.0,4.0,5.0,In unit/ home
Apartment,10,21W,4,2 bed 1 bath,3,1,3,755,1000,No,0,300,No,Yes,Transit,2.0,8.0,10.0,10.0,In the apartment complex
Apartment,10,21W,4,2 bed 1 bath,2,1,2,755,1000,No,0,350,Don't know,Yes,Transit,4.0,7.0,10.0,10.0,In the apartment complex
Apartment,9,Brickstone,5,2 bed 1.5 bath,4,4,4,1125,350,Yes,15,200,Yes,Yes,Transit,5.0,5.0,5.0,5.0,In the apartment complex
Apartment,14,Brickstone,5,2 bed 2 bath,5,5,5,880,75,Yes,35,180,Yes,Yes,Transit,10.0,10.0,15.0,20.0,In the apartment complex
Apartment,8,Brickstone,5,2 bed 1.5 bath,5,5,5,1100,75,Yes,35,175,Yes,Yes,Transit,10.0,5.0,5.0,15.0,In the apartment complex
Apartment,9,The Landing,4,2 bed 1 bath,4,4,3,950,1000,No,0,685,Yes,Yes,Transit,30.0,5.0,8.0,5.0,In the apartment complex
Apartment,9,Tall oaks,4,2 bed 2 bath,4,4,4,0,200,Yes,0,0,No,Yes,Transit,3.0,5.0,5.0,10.0,In the apartment complex
Apartment,8,The Landing,5,2 bed 1.5 bath,5,4,5,1070,500,Yes,0,250,Yes,Yes,Transit,5.0,10.0,5.0,5.0,In unit/ home
House you rent,9,21W,5,2 bed 1 bath,1,1,3,755,1000,No,0,1200,Don't know,Don't Know,Transit,5.0,5.0,10.0,10.0,In unit/ home
House you rent,15,Parc,3,2 bed 2 bath,5,4,4,940,400,No,0,200,Yes,Yes,Transit,2.0,10.0,5.0,5.0,In unit/ home
House you rent,9,Brickstone,4,2 bed 1 bath,3,4,4,875,1200,Yes,35,150,Yes,Don't Know,Transit,10.0,7.0,10.0,10.0,In the apartment complex
House you rent,9,Brickstone,5,2 bed 1.5 bath,4,4,4,1200,2500,Yes,56,120,No,Yes,Transit,5.0,10.0,5.0,10.0,Need to go to other place for this facility
Apartment,8,Brickstone,3,2 bed 1.5 bath,4,4,4,1200,2000,Yes,0,300,Yes,Yes,Transit,5.0,10.0,10.0,20.0,Need to go to other place for this facility
Apartment,9,The Landing,4,2 bed 1 bath,1,1,4,950,1050,No,0,200,Don't know,Yes,Transit,3.0,10.0,3.0,5.0,In the apartment complex
Apartment,4,Tall oaks,4,2 bed 1 bath,5,5,5,800,75,Yes,0,100,No,Yes,Transit,15.0,3.0,3.0,3.0,In the apartment complex
House you rent,8,Brickstone,6,2 bed 1.5 bath,4,4,4,899,600,Yes,20,400,Yes,Yes,Transit,10.0,15.0,10.0,10.0,In the apartment complex
Apartment,9,Other,6,2 bed 2 bath,5,5,5,1120,400,No,0,2300,Yes,Yes,Transit,5.0,30.0,3.0,10.0,Need to go to other place for this facility
Apartment,8,Brickstone,6,3 bed 2 bath,4,5,5,1080,400,Yes,0,1300,Yes,Yes,Transit,6.0,10.0,7.0,15.0,In the apartment complex
Apartment,10,21W,4,2 bed 1 bath,2,1,1,755,1000,No,0,350,No,Yes,Transit,4.0,8.0,10.0,10.0,In the apartment complex
Apartment,4,Brickstone,5,2 bed 1.5 bath,4,4,4,1100,2500,Yes,40,260,Don't know,Yes,Transit,10.0,5.0,10.0,5.0,In the apartment complex
Apartment,4,Brickstone,5,2 bed 1.5 bath,4,4,4,1100,2500,Yes,50,250,Don't know,Yes,Transit,10.0,5.0,10.0,5.0,In the apartment complex
House you rent,16,Tall oaks,2,1 bed 1 bath,4,4,4,700,500,Yes,25,120,No,Yes,Transit,10.0,15.0,10.0,15.0,In the apartment complex
Apartment,9,Tall oaks,2,1 bed 1 bath,5,5,5,670,400,No,0,250,Yes,Yes,Transit,5.0,10.0,10.0,10.0,In the apartment complex
Apartment,9,21W,6,3 bed 2 bath,3,3,3,8,1020,No,0,40,No,Yes,Transit,2.0,5.0,10.0,15.0,Need to go to other place for this facility
